,name,price,review_count,location.zip_code
0,Din Tai Fung,$$,3945,98004
1,Facing East,$$,1893,98004
2,John Howie Steak Restaurant,$$$$,1350,98004
3,Maggiano's Little Italy,$$,1154,98004
4,Mediterranean Kitchen,$$,1029,98004
5,Daniel's Broiler,$$$,994,98004
6,Sugar Factory,$$$,965,98004
7,Earls Kitchen + Bar,$$,963,98004
8,Seastar Restaurant & Raw Bar,$$$,950,98004
9,JOEY Bellevue,$$,903,98004
10,Lunchbox Laboratory,$$,815,98004
11,The Cheesecake Factory,$$,811,98004
12,Japonessa Sushi Cocina,$$,809,98004
13,Hokkaido Ramen Santouka - Bellevue,$$,796,98004
14,Cactus Restaurants,$$,779,98004
15,Tavern Hall,$$,740,98004
16,Ginza,$$,737,98004
17,Fogo de Chao Brazilian Steakhouse,$$$,723,98004
18,13 Coins Restaurant,$$,715,98004
19,Ascend Prime Steak & Sushi,$$$$,708,98004
20,El Gaucho - Bellevue,$$$$,682,98004
21,Garlic Crush,$$,678,98004
22,Gilbert's on Main,$$,671,98004
23,Wild Ginger,$$,664,98004
24,Black Bottle,$$,663,98004
25,Boiling Point,$$,652,98004
26,The Dolar Shop,$$$,646,98004
27,Chick-fil-A,$,640,98004
28,El Rinconsito - Bellevue,$,629,98005
29,Pearl,$$,610,98004
30,Monsoon Bellevue,$$,610,98004
31,Baron's Sino Kitchen & Bar,$$$,592,98004
32,P.F. Chang's,$$,573,98004
33,Moksha,$$,566,98004
34,The Crab Pot Bellevue,$$$,545,98005
35,Ruth's Chris Steak House,$$$,530,98004
36,Chace's Pancake Corral,$$,522,98004
37,The Melting Pot,$$$,514,98004
38,MOD Pizza,$,510,98004
39,I Love Sushi on Lake Bellevue,$$,502,98005
40,Café Cesura,$,502,98004
41,Belle Pastry,$$,496,98004
42,Pho Ever,$$,468,98005
43,Lucky Strike - Bellevue,$$,465,98004
44,The French Bakery,$,460,98004
45,Burgermaster,$$,456,98004
46,Moghul Palace Indian Cuisine,$$,441,98005
47,520 Bar & Grill,$$,440,98004
48,Peony Kitchen,$$,424,98004
49,Bis on Main,$$$,417,98004
