Year,Auburn,Bellevue,Black Diamond,Bryn Mawr-Skyway,Burien,Carnation,Des Moines,Duvall,Enumclaw,Fall City,Federal Way,Issaquah,Kenmore,Kent,Kirkland,Maple Valley,Medina,Mercer Island,North Bend,Pacific,Ravensdale,Redmond,Renton,Sammamish,Seatac,Seattle,Shoreline,Snoqualmie,Vashon,Woodinville
2010,407471,365953,307792,272289,1353506,422214,247463,380347,293646,438475,366061,366061,382202,388199,385201,314339,1505358,936204,358868,246553,357585,302069,440256,371162,241397,460133,357564,411549,446903,429226
2011,367476,326859,274612,237591,1206538,384780,214861,345812,259934,400352,330143,330143,352414,353263,352838,281377,1397046,872386,323474,211863,318743,265303,398353,331828,205008,415647,317494,382759,399418,391089
2012,314737,289391,264840,222744,1091712,365589,198207,335278,245916,389616,317766,317766,350872,344005,347438,271398,1414326,894002,308609,191133,303156,247145,388809,317977,188005,400237,302073,371152,373508,372330
2013,355924,327256,296167,252957,1232303,405257,225712,380273,269751,429024,349388,349388,406394,383548,394971,306716,1652175,1010662,346412,206318,345104,275711,436842,356276,212586,452133,340332,417731,410233,413982
2014,377541,349336,327022,276635,1330534,440326,246425,425683,287691,473746,380718,380718,443085,419567,431326,337630,1864572,1083351,372796,221633,371585,296609,469195,382902,236516,493733,371050,455268,432518,443893
2015,403395,375359,352103,309925,1440782,476643,270102,459434,311309,517443,414376,414376,482588,457196,469892,366448,2080291,1190225,413883,238578,407815,323196,514739,418968,263218,540370,407519,494984,468573,481778
2016,453545,423909,388904,362764,1629122,524216,306667,507140,340109,576191,458150,458150,542276,508692,525484,406715,2317279,1349114,463491,266784,458767,362775,580186,471481,305365,605572,460806,554694,514255,534474
2017,510496,478031,431882,424048,1844456,590945,349776,568725,380125,642289,511207,511207,627331,573008,600170,452686,2632223,1530792,527259,302367,518030,410199,657729,533964,348171,685276,522470,629459,581206,605333
2018,567856,532183,460174,476892,2037105,647233,390752,624064,413126,708159,560642,560642,698990,632108,665549,490429,2909240,1683347,579788,334329,557704,446016,720237,583127,389488,754222,575612,699230,635647,667439
2019,556998,524295,455963,473634,2010891,645533,392293,618563,415196,704538,559867,559867,681366,626409,653887,486084,2844593,1652687,579200,341960,560512,451236,717119,584177,393484,747223,574961,685195,636907,661051
2020,597470,565342,502612,517550,2182975,704235,431864,669280,465307,763037,614172,614172,731416,680699,706058,532963,3049062,1733018,625765,386923,620544,503733,773997,638865,436832,810434,628710,736079,688649,712364
