,name,price,rating,location.zip_code
0,Stella's,$,4.5,98922
1,Cottage Cafe & Fireside Lounge,$$,4.0,98922
2,Sunset Cafe,$$,4.0,98922
3,Roslyn Mexican Grill,$$,4.0,98941
4,Smokey's Bar-B-Que,$$,4.0,98943
5,Roslyn Cafe,$$,4.0,98941
6,The Red Bird Cafe,$,4.5,98941
7,Swiftwater Cellars,$$$,4.0,98922
8,Roslyn Village Pizza,$$,4.0,98941
9,Basecamp Books & Bites,$,4.0,98941
10,Pioneer Coffee Roasting Company,$,4.0,98922
11,"Beau's Pizza, Pasta & Steak",$$,4.0,98922
12,The Brick Saloon,$$,3.5,98941
13,Roots BBQ,$,4.5,98941
14,Orchard Restaurant,$$$$,4.5,98922
15,Twin Pines Drive In,$,4.0,98922
16,Best Of Thai Restaurant,$$,4.0,98922
17,Lums Coffee Stop,$,5.0,98922
18,El Caporal Mexican Restaurant,$$,3.5,98922
19,Cle Elum Bakery,$,3.5,98922
20,509 Bake House,$,4.5,98922
21,Red Arrow Drive-In.,$,3.0,98922
22,Mike's Tavern,$,4.5,98922
23,Mama Vallone's Steak House,$$,3.5,98922
24,Portals,$$,3.0,98922
25,The Old #3 Restaurant,$$,4.0,98940
26,Sahara Pizza,$$$,3.5,98922
27,Roslyn Candy Company,$,4.5,98941
28,Taco Bell,$,3.5,98922
29,Pastime,$$,3.0,98941
30,Marko's Place,$,3.5,98941
31,Roslyn Roadhouse,$$,3.0,98941
32,McDonald's,$,2.5,98922
33,Keg Cellar Tavern,$$,4.5,98922
34,56 Degrees,$$,2.5,98922
35,Dairy Queen,$,2.0,98922
36,Sportland Mini-Mart,$,3.0,98941
37,Subway,$,2.0,98922
38,Carpenter House Museum & Art Gallery,$,3.5,98922
39,Conway Coffee Company,$,1.0,98922
40,Bakery House,$$,2.5,98922
